                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2689,                 1.0025,                 1.1082,                 0.9566,                0.91034,                0.95247,                0.63819,                  1.211,                0.67537,                  1.043,             0.00066638,             0.00066638,             0.00066638
                      2,                 1.1851,                0.64012,                 1.0659,                0.98206,                0.94565,                0.97046,                 0.6711,                 1.1391,                0.53117,                 1.0207,             0.00067319,             0.00067319,             0.00067319
